"Property","contrast","estimate","SE","df","t.ratio","p.value"
"Cu","Fill Sand Pre - Soil Inversion Pre",-0.116666666666667,0.207396137361915,35.9275515317056,-0.56253056662805,0.999118119314541
"Cu","Fill Sand Pre - Control Post",-0.466666666666668,0.207396137361915,35.9275515317055,-2.25012226651221,0.347835279413846
"Cu","Fill Sand Pre - Fill Sand Post",-0.15,0.177599737939544,20.0000000000001,-0.844595840851185,0.987880054768602
"Cu","Fill Sand Pre - Preemergent Post",-0.433333333333333,0.207396137361915,35.9275515317056,-2.08939924747561,0.440511315342955
"Cu","Fill Sand Pre - Soil Inversion Post",-0.45,0.207396137361915,35.9275515317056,-2.1697607569939,0.392873134999929
"Cu","Preemergent Pre - Soil Inversion Pre",0.333333333333332,0.207396137361915,35.9275515317056,1.60723019036585,0.74296206355792
"Cu","Preemergent Pre - Control Post",-0.0166666666666692,0.207396137361915,35.9275515317056,-0.0803615095183051,0.999999998604501
"Cu","Preemergent Pre - Fill Sand Post",0.299999999999999,0.207396137361915,35.9275515317056,1.44650717132927,0.829388958892584
"Cu","Preemergent Pre - Preemergent Post",0.0166666666666664,0.177599737939545,20,0.0938439823167969,0.999999995125016
"Cu","Preemergent Pre - Soil Inversion Post",-4.96130914129367e-16,0.207396137361915,35.9275515317056,-2.39218975068759e-15,1
"Cu","Soil Inversion Pre - Control Post",-0.350000000000001,0.207396137361915,35.9275515317056,-1.68759169988416,0.694810059185354
"Cu","Soil Inversion Pre - Fill Sand Post",-0.0333333333333329,0.207396137361915,35.9275515317056,-0.160723019036584,0.999999824358429
"Cu","Soil Inversion Pre - Preemergent Post",-0.316666666666666,0.207396137361915,35.9275515317056,-1.52686868084756,0.788086525379825
"Cu","Soil Inversion Pre - Soil Inversion Post",-0.333333333333333,0.177599737939545,20,-1.87687964633597,0.58015754312989
"Cu","Control Post - Fill Sand Post",0.316666666666669,0.207396137361915,35.9275515317056,1.52686868084757,0.788086525379817
"Cu","Control Post - Preemergent Post",0.0333333333333356,0.207396137361915,35.9275515317056,0.160723019036597,0.999999824358429
"Cu","Control Post - Soil Inversion Post",0.0166666666666687,0.207396137361915,35.9275515317056,0.0803615095183027,0.999999998604501
"Cu","Fill Sand Post - Preemergent Post",-0.283333333333333,0.207396137361915,35.9275515317056,-1.36614566181098,0.866231998974409
"Cu","Fill Sand Post - Soil Inversion Post",-0.3,0.207396137361915,35.9275515317056,-1.44650717132927,0.829388958892583
"Cu","Preemergent Post - Soil Inversion Post",-0.0166666666666669,0.207396137361915,35.9275515317056,-0.0803615095182938,0.999999998604501
"Mn","Control Pre - Fill Sand Pre",-1.31666666666666,1.19239396270894,38.5405332959835,-1.10422117843954,0.951996730547517
"Mn","Control Pre - Preemergent Pre",0.23333333333334,1.19239396270894,38.5405332959835,0.195684765799419,0.999999320856013
"Mn","Control Pre - Soil Inversion Pre",1.40000000000001,1.19239396270894,38.5405332959835,1.17410859479649,0.934466217622282
"Mn","Control Pre - Control Post",1.06666666666667,1.14152067289211,20.0000000000002,0.934426061653532,0.978593329704487
"Mn","Control Pre - Fill Sand Post",2.91666666666667,1.19239396270894,38.5405332959835,2.44605957249267,0.249083756383849
"Mn","Control Pre - Preemergent Post",1.10000000000001,1.19239396270894,38.5405332959834,0.922513895911526,0.981926843071645
"Mn","Control Pre - Soil Inversion Post",0.416666666666674,1.19239396270894,38.5405332959835,0.349437081784673,0.99996339163008
"Mn","Fill Sand Pre - Preemergent Pre",1.55,1.19239396270894,38.5405332959831,1.29990594423896,0.893334442191426
"Mn","Fill Sand Pre - Soil Inversion Pre",2.71666666666667,1.19239396270894,38.5405332959831,2.27832977323603,0.33103003144317
"Mn","Fill Sand Pre - Control Post",2.38333333333333,1.19239396270894,38.5405332959831,1.99878010780829,0.495796915391184
"Mn","Fill Sand Pre - Fill Sand Post",4.23333333333333,1.14152067289211,20,3.70850343218746,0.0247652175117481
"Mn","Fill Sand Pre - Preemergent Post",2.41666666666667,1.19239396270894,38.540533295983,2.02673507435107,0.47815398658987
"Mn","Fill Sand Pre - Soil Inversion Post",1.73333333333333,1.19239396270894,38.5405332959831,1.45365826022421,0.826258573776514
"Mn","Preemergent Pre - Soil Inversion Pre",1.16666666666667,1.19239396270894,38.5405332959831,0.978423828997068,0.974876116734129
"Mn","Preemergent Pre - Control Post",0.833333333333328,1.19239396270894,38.5405332959831,0.698874163569329,0.996544250983015
"Mn","Preemergent Pre - Fill Sand Post",2.68333333333333,1.19239396270894,38.540533295983,2.25037480669325,0.346074692779864
"Mn","Preemergent Pre - Preemergent Post",0.866666666666667,1.14152067289211,20,0.759221175093495,0.993508970324593
"Mn","Preemergent Pre - Soil Inversion Post",0.183333333333334,1.19239396270894,38.5405332959831,0.153752315985254,0.999999872861486
"Mn","Soil Inversion Pre - Control Post",-0.33333333333334,1.19239396270894,38.5405332959831,-0.279549665427739,0.999992029880269
"Mn","Soil Inversion Pre - Fill Sand Post",1.51666666666667,1.19239396270894,38.5405332959831,1.27195097769619,0.903561836362512
"Mn","Soil Inversion Pre - Preemergent Post",-0.300000000000001,1.19239396270894,38.5405332959831,-0.251594698884961,0.999996139247503
"Mn","Soil Inversion Pre - Soil Inversion Post",-0.983333333333334,1.14152067289211,20,-0.86142402558685,0.986430913545743
"Mn","Control Post - Fill Sand Post",1.85000000000001,1.19239396270894,38.5405332959831,1.55150064312393,0.774901320424334
"Mn","Control Post - Preemergent Post",0.0333333333333392,1.19239396270894,38.5405332959831,0.0279549665427782,0.999999999999265
"Mn","Control Post - Soil Inversion Post",-0.649999999999994,1.19239396270894,38.5405332959831,-0.545121847584075,0.999289521556123
"Mn","Fill Sand Post - Preemergent Post",-1.81666666666667,1.19239396270894,38.540533295983,-1.52354567658115,0.79018415031993
"Mn","Fill Sand Post - Soil Inversion Post",-2.5,1.19239396270894,38.5405332959831,-2.096622490708,0.434944247354279
"Mn","Preemergent Post - Soil Inversion Post",-0.683333333333333,1.19239396270894,38.5405332959831,-0.573076814126853,0.9990175471867
"Zn","Control Pre - Fill Sand Pre",0.0666666666666645,0.3686043292526,38.7201339004204,0.180862408213819,0.999999607197306
"Zn","Control Pre - Preemergent Pre",0.399999999999998,0.3686043292526,38.7201339004203,1.08517444928294,0.956166612294754
"Zn","Control Pre - Soil Inversion Pre",-0.11666666666667,0.3686043292526,38.7201339004204,-0.316509214374202,0.99998136149047
"Zn","Control Pre - Control Post",-0.316666666666667,0.357499036334686,20,-0.885783273469325,0.984106727267898
